tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,4000,10499557
Pthreads,1,1000000,4000,10383592
Pthreads,1,1000000,4000,10400650
Pthreads,2,500000,4000,5289303
Pthreads,2,500000,4000,5753751
Pthreads,2,500000,4000,6502118
Pthreads,4,250000,4000,4255516
Pthreads,4,250000,4000,4257394
Pthreads,4,250000,4000,4212221
Pthreads,1,2000000,3000,15767434
Pthreads,1,2000000,3000,16870052
Pthreads,1,2000000,3000,16172764
Pthreads,2,1000000,3000,9446696
Pthreads,2,1000000,3000,9522629
Pthreads,2,1000000,3000,9479996
Pthreads,4,500000,3000,6361302
Pthreads,4,500000,3000,6271403
Pthreads,4,500000,3000,6355644
Pthreads,1,3000000,2000,15682820
Pthreads,1,3000000,2000,15605498
Pthreads,1,3000000,2000,15707020
Pthreads,2,1500000,2000,9474183
Pthreads,2,1500000,2000,9494980
Pthreads,2,1500000,2000,9536888
Pthreads,4,750000,2000,6373467
Pthreads,4,750000,2000,6393298
Pthreads,4,750000,2000,6519914
Pthreads,1,4000000,1000,10745100
Pthreads,1,4000000,1000,10723462
Pthreads,1,4000000,1000,10500030
Pthreads,2,2000000,1000,6372925
Pthreads,2,2000000,1000,6436915
Pthreads,2,2000000,1000,6365896
Pthreads,4,1000000,1000,4277432
Pthreads,4,1000000,1000,4253325
Pthreads,4,1000000,1000,4248581
