tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,4000,10416307
OpenMP,1,1000000,4000,10662432
Pthreads,1,1000000,4000,10072408
OpenMP,1,1000000,4000,10551600
Pthreads,1,1000000,4000,10057518
OpenMP,1,1000000,4000,11019259
Pthreads,1,1000000,4000,10230278
OpenMP,1,1000000,4000,11215182
Pthreads,2,500000,4000,6250983
OpenMP,2,500000,4000,7061473
Pthreads,2,500000,4000,6261913
OpenMP,2,500000,4000,7102228
Pthreads,2,500000,4000,6272285
OpenMP,2,500000,4000,7108001
Pthreads,2,500000,4000,6267907
OpenMP,2,500000,4000,7081210
Pthreads,4,250000,4000,4106899
OpenMP,4,250000,4000,4812278
Pthreads,4,250000,4000,4129717
OpenMP,4,250000,4000,4818555
Pthreads,4,250000,4000,4122366
OpenMP,4,250000,4000,4778552
Pthreads,4,250000,4000,4135548
OpenMP,4,250000,4000,4838612
Pthreads,1,2000000,3000,15463567
OpenMP,1,2000000,3000,17000311
Pthreads,1,2000000,3000,15399987
OpenMP,1,2000000,3000,16882209
Pthreads,1,2000000,3000,15288649
OpenMP,1,2000000,3000,16870373
Pthreads,1,2000000,3000,15347108
OpenMP,1,2000000,3000,16904263
Pthreads,2,1000000,3000,9617897
OpenMP,2,1000000,3000,10729292
Pthreads,2,1000000,3000,10058276
OpenMP,2,1000000,3000,11214392
Pthreads,2,1000000,3000,10074685
OpenMP,2,1000000,3000,11270090
Pthreads,2,1000000,3000,9942323
OpenMP,2,1000000,3000,10975737
Pthreads,4,500000,3000,6831194
OpenMP,4,500000,3000,7470438
Pthreads,4,500000,3000,6311142
OpenMP,4,500000,3000,7875539
Pthreads,4,500000,3000,6323074
OpenMP,4,500000,3000,8528480
Pthreads,4,500000,3000,6452609
OpenMP,4,500000,3000,8130196
Pthreads,1,3000000,2000,16623637
OpenMP,1,3000000,2000,18164284
Pthreads,1,3000000,2000,15871231
OpenMP,1,3000000,2000,18293933
Pthreads,1,3000000,2000,16163446
OpenMP,1,3000000,2000,18072139
Pthreads,1,3000000,2000,16181304
OpenMP,1,3000000,2000,17476243
Pthreads,2,1500000,2000,9685736
OpenMP,2,1500000,2000,11271006
Pthreads,2,1500000,2000,9544756
OpenMP,2,1500000,2000,11221338
Pthreads,2,1500000,2000,10029325
OpenMP,2,1500000,2000,12029279
Pthreads,2,1500000,2000,10149921
OpenMP,2,1500000,2000,11722187
Pthreads,4,750000,2000,6558067
OpenMP,4,750000,2000,7693471
Pthreads,4,750000,2000,6823101
OpenMP,4,750000,2000,7484686
Pthreads,4,750000,2000,6903489
OpenMP,4,750000,2000,8036524
Pthreads,4,750000,2000,6801210
OpenMP,4,750000,2000,8610534
Pthreads,1,4000000,1000,11138786
OpenMP,1,4000000,1000,12904555
Pthreads,1,4000000,1000,11123696
OpenMP,1,4000000,1000,12702946
Pthreads,1,4000000,1000,10740812
OpenMP,1,4000000,1000,12623003
Pthreads,1,4000000,1000,11551045
OpenMP,1,4000000,1000,12574281
Pthreads,2,2000000,1000,6322444
OpenMP,2,2000000,1000,7632969
Pthreads,2,2000000,1000,7066028
OpenMP,2,2000000,1000,8110225
Pthreads,2,2000000,1000,6355103
OpenMP,2,2000000,1000,7830993
Pthreads,2,2000000,1000,6744332
OpenMP,2,2000000,1000,8086445
Pthreads,4,1000000,1000,4660526
OpenMP,4,1000000,1000,5313758
Pthreads,4,1000000,1000,4250310
OpenMP,4,1000000,1000,5576678
Pthreads,4,1000000,1000,4533286
OpenMP,4,1000000,1000,5639810
Pthreads,4,1000000,1000,4364899
OpenMP,4,1000000,1000,5753139
